id,date_of_birth,number_dependants,credit_utilization,debt_to_income_ratio,monthly_income,number_open_credit_lines,number_open_loans,number_90_days_past_due,number_charged_off,score1,score2,target
76,1930-01-08,0,0.0059130692414511386,0.27817006914770714,2000,3,3,0,1,827,679,1
77,1995-05-09,0,0.054396675465106015,0.3634827708196418,2000,4,1,0,0,554,772,0
78,1938-01-31,1,0.07701635847162294,0.191739782404234,2000,7,2,1,0,619,798,0
79,1980-07-10,0,0.02096457887972393,0.14422607514034874,2400,9,2,0,0,701,611,0
80,1938-06-21,2,0.028326059059314852,0.39167794278545914,2400,6,2,0,0,616,825,0
81,1938-04-24,1,0.10253244410457713,0.2652857070068971,2600,6,2,0,0,694,761,0
82,1958-06-13,1,0.049722252092676666,0.2786696139522999,2000,8,1,0,0,712,614,0
84,1938-08-05,1,0.03830923654197024,0.2229764104928565,2700,1,2,0,0,661,692,0
85,1933-04-17,0,0.03120058015503301,0.25093751946253723,2900,3,6,0,0,735,673,0
86,1997-08-30,1,0.09157672966922212,0.1711067563574464,2400,8,5,0,0,503,707,0
87,1958-03-09,1,0.017907568693079516,0.2218747069430048,2600,8,3,0,0,629,546,0
88,1974-08-05,0,0.019117675943441954,0.39692057276208315,2100,4,4,0,0,785,835,0
89,1932-08-28,1,0.048313657346408106,0.27302296461312786,2800,1,3,0,0,645,808,0
90,1943-09-05,0,0.004189884408098297,0.4646216722144792,2000,4,2,0,0,805,660,0
91,1969-05-05,1,0.023829443457596994,0.1491415449418511,3500,8,3,0,0,675,529,0
92,1940-12-19,1,0.09196697327754128,0.12720643384782318,2100,7,0,0,0,636,562,0
93,1978-12-15,1,0.10264026209943344,0.34286733093650146,2000,2,1,0,0,605,724,0
94,1994-01-04,0,0.2051097303912771,0.43372478855417007,2100,4,3,0,0,547,765,0
95,1962-06-21,1,0.04545221367852905,0.3402724535375537,2100,6,0,0,0,702,575,0
96,1946-07-23,1,0.02763205725575144,0.5058426313997957,2300,7,2,0,0,662,655,0
97,1942-10-11,1,0.003554381614671099,0.5132104989375016,2400,5,0,0,0,539,666,1
98,1988-02-25,0,0.019450102028521436,0.36361551062987724,2300,7,1,0,0,625,810,0
99,1941-05-25,1,0.02037151385248112,0.3142156570878281,2400,7,6,0,0,756,693,0
100,1964-04-27,0,0.060634670160794775,0.22665262424229055,2000,3,0,0,0,778,661,0
101,1944-11-21,1,0.05046821285154155,0.30371802047307705,2200,4,4,0,0,641,807,0
102,1957-11-21,0,0.06634335591865831,0.32630867781583467,2000,5,1,0,1,587,777,0
103,1977-05-05,0,0.0012504833494437313,0.33498422602243766,2900,5,4,0,0,534,727,0
105,1975-06-17,0,0.006330083166066689,0.47779591204027566,2800,4,1,1,0,748,580,0
106,1979-01-25,0,0.05286692189816557,0.1821319168196846,2000,3,4,0,0,663,764,0
107,1986-06-10,3,0.012657020345090881,0.3075083377617317,2000,5,2,0,0,832,584,0
108,1959-03-21,0,0.10625520303871763,0.3371704333722927,2200,5,4,0,0,551,503,0
109,1965-06-29,0,0.004124766391582035,0.43027547393217164,2300,5,1,1,0,824,512,0
110,1961-05-28,0,0.0021077853471592085,0.35773482093731646,2200,8,0,0,0,606,834,0
111,1934-03-13,0,0.023373243153720313,0.32092167031539237,2800,5,0,1,0,835,584,0
112,1997-11-23,0,0.027521591620544048,0.26240692284991957,2400,4,2,1,0,610,802,0
113,1944-07-28,0,0.07534124662309873,0.24230315546585088,2400,5,3,0,0,638,801,0
114,1942-03-03,1,0.02773657011236999,0.19231522786464872,2300,3,3,0,0,517,745,0
115,1968-07-20,0,0.010737335542398585,0.2245542517637656,2100,6,1,1,0,724,576,0
116,1991-12-05,0,0.05345904723532092,0.551391116468219,2200,2,9,0,0,793,722,0
117,1999-05-02,1,0.05107260372255082,0.49929957267716146,2500,6,4,0,0,737,547,0
118,1995-03-06,2,0.028206289895151816,0.3378601485768491,2300,8,1,0,0,539,681,0
119,1958-08-30,2,0.050324214962523296,0.3765484667499174,2100,3,2,0,0,549,780,0
120,1942-03-23,0,0.10781445246664259,0.2875373426533451,2600,9,2,1,0,695,734,0
121,1992-02-21,0,0.13754964578372444,0.3212310254811567,2000,4,4,0,0,567,670,0
122,1970-12-23,0,0.11042879622909123,0.39092600638997266,2000,5,2,0,0,603,700,1
123,1986-02-19,0,0.06251877665353604,0.29014410408254987,2600,4,3,0,0,657,708,0
124,1981-01-13,0,0.05461066575073599,0.2689773617956918,2000,9,1,0,0,560,520,0
125,1953-06-17,1,0.050423070313061834,0.45305738154674285,2900,5,2,0,0,787,837,0
126,1928-06-02,0,0.11560016067320701,0.27822913455912796,2600,8,5,0,0,569,750,0
128,1962-08-23,0,0.06492253842880402,0.3354727861678748,2000,6,5,0,0,714,838,0
129,1949-12-26,0,0.03458925991366476,0.5260675041641273,2200,4,0,1,0,761,639,0
130,1961-02-27,1,0.0014612205288965392,0.3274789272257924,2900,5,4,0,0,837,574,0
131,1964-04-05,1,0.043892316702669174,0.5750839995612084,2400,5,1,0,0,763,675,0
132,1948-08-22,3,0.039370916061419965,0.6115627498667175,2200,3,3,0,0,716,635,0
133,1962-08-15,0,0.0889860286081932,0.3250880742647632,2000,5,3,0,0,713,746,0
134,1954-02-26,1,0.09849526950931323,0.039547725413718246,2100,6,2,0,0,729,807,0
136,1937-03-29,0,0.10813073350156631,0.1729180254925138,2000,5,0,0,0,719,730,0
137,1929-02-06,1,0.046015958652453934,0.3645100824338108,2700,4,3,0,0,678,704,0
138,1929-10-11,1,0.012906656185306873,0.25999947647518995,2100,5,1,0,0,577,530,0
139,1938-09-05,0,0.008142721201743901,0.5320613305977917,2200,3,1,0,0,588,590,1
141,1932-09-28,2,0.05285942767163635,0.4545636528607741,2100,7,2,0,0,520,667,0
142,1946-07-18,0,0.025772275711799294,0.32706441106853157,2500,3,3,0,0,605,830,0
143,1998-05-02,0,0.02054868305673903,0.36758263826871734,2100,5,1,0,0,523,771,0
144,1974-08-07,0,0.012532429983956084,0.2918292658415181,2000,5,1,0,0,559,602,1
145,1994-08-08,1,0.002762792692375834,0.34320059504584427,2500,1,1,0,0,671,641,0
146,1942-10-03,1,0.10049062592825798,0.35575693381560786,2200,5,2,0,1,825,770,0
147,1986-07-31,0,0.08549753232473684,0.31477293720974875,2000,5,1,0,0,517,689,0
148,1973-08-12,0,0.0879608403795741,0.07502953977096159,2100,2,2,1,0,682,661,0
149,1972-11-27,1,0.06183001376675228,0.20533392806974002,2500,3,3,0,0,615,660,0
150,1941-08-13,0,0.008984982020753495,0.22827220460024256,2400,4,3,0,0,637,689,0
151,1952-09-07,0,0.06190291179085201,0.5133695306701791,2500,4,3,0,0,761,736,0
152,1965-03-25,1,0.035679909379363994,0.5211832386986892,2100,7,1,0,0,651,717,0
153,1987-10-31,0,0.0922157009276934,0.32459377167972164,2000,6,2,0,0,726,837,0
154,1988-07-18,0,0.02417828827851943,0.20066450850230927,2400,5,3,0,0,601,610,0
155,1945-09-25,0,0.07611156894464984,0.4995782399513895,2200,3,2,0,0,798,697,0
156,1941-04-23,0,0.04016674634298062,0.3741903388323287,2000,2,1,0,1,827,635,0
158,1992-11-04,1,0.027829434217446682,0.3473689487802473,2400,4,3,0,0,601,626,0
159,1958-11-19,0,0.05204739924686717,0.35827690242463245,2100,6,2,0,0,590,666,0
160,1973-06-17,1,0.01610180875538589,0.17883770707053112,2000,9,3,0,0,724,653,0
161,1949-05-30,2,0.008901474701218952,0.39948530331625076,2400,4,0,0,1,807,673,0
162,1989-10-01,1,0.046408180449176,0.36306576814833547,2200,8,3,0,0,640,625,1
163,1970-03-04,0,0.02469130612251343,0.639662063918932,2300,3,0,1,1,563,576,0
164,1959-04-22,2,0.022414505301722187,0.2755935250746491,2000,6,1,0,0,502,631,0
165,1935-07-21,0,0.04145372219942254,0.30852923022446116,2000,5,0,0,0,513,787,0
166,1973-08-31,0,0.0040271436866295045,0.4754766951667556,2500,4,3,0,0,832,662,0
167,1942-03-11,0,0.002349061091014072,0.3008655162970675,2200,1,3,0,0,722,580,0
168,1995-09-13,0,0.04858949708282966,0.3332914288114838,2000,4,2,0,0,728,544,0
169,1946-03-01,0,0.04815991115273753,0.3131903552551746,2000,4,1,0,0,515,796,1
170,1995-11-19,1,0.010613105348540416,0.5622476740018076,2300,7,1,0,0,582,589,1
171,1961-07-01,1,0.033902294540469786,0.4284556071320312,3100,8,2,1,0,744,788,0
172,1991-08-19,2,0.023447661552836688,0.4814669629994494,2100,3,1,1,0,599,782,0
173,1951-06-23,0,0.0039022370389739554,0.2886344687760775,2100,4,5,0,1,756,736,0
174,1935-11-06,1,0.05778907735430929,0.3582026540105747,3000,4,1,0,0,818,722,0
175,1953-12-26,0,0.02739396467554315,0.5282867355596967,2100,7,2,0,0,531,745,0
176,1968-12-15,0,0.061181561440926756,0.34225911016192156,2200,5,3,0,0,518,784,0
177,1983-02-07,0,0.01824956016553251,0.4346863444557943,2700,6,3,0,0,627,541,0
178,1974-07-04,0,0.13382624804038207,0.15319592990170772,2800,6,1,0,0,558,777,0
179,1968-09-24,0,0.003512796166473027,0.31132891646233,2100,5,0,0,0,619,574,0
181,1951-12-15,0,0.11690669917458077,0.2116016789297328,2000,6,1,0,0,568,532,0
182,1948-05-03,1,0.013658297523086494,0.39229842171227425,2100,3,0,0,0,632,820,0
183,1961-10-16,0,0.02554699724551349,0.37989740798111704,2000,7,0,0,0,649,708,0
184,1986-07-12,0,0.0007007703526449928,0.48713189860904926,2000,5,4,0,1,838,694,0
185,1945-11-29,0,0.03377796505568008,0.4095889756675376,2100,2,2,0,1,547,523,1
186,1929-11-30,1,0.01713453667870096,0.39684145561243056,2000,6,5,0,0,723,596,0
187,1998-08-30,0,0.04831909518850605,0.2956802314010261,2000,4,4,0,0,752,691,0
188,1937-09-23,1,0.058729434440699155,0.3636057465061827,2000,5,3,0,0,790,531,1
189,1986-02-26,0,0.005007151626993295,0.19579993168403192,2700,2,1,0,0,629,781,0
190,1936-03-11,0,0.03450497611471845,0.3202482215350806,2000,8,1,0,0,751,648,0
192,1987-09-03,1,0.00935863718045991,0.4257992508413345,2100,6,2,0,0,817,838,0
193,1951-01-15,0,0.0011743603302256267,0.26024496350936327,2000,3,0,0,0,785,561,0
194,1993-09-06,3,0.006685859080274861,0.32657956965747775,2100,2,1,0,0,777,588,0
195,1982-05-26,0,0.062456145822305124,0.09494197866338615,2100,4,0,0,0,811,621,0
196,1955-01-26,0,0.03013527030515055,0.3099963626998327,2500,11,5,0,0,704,839,0
198,1988-11-08,1,0.10162695995514472,0.5615618045163215,2200,4,1,1,0,696,706,0
199,1988-03-03,0,0.011273054366322555,0.18548252702399726,2000,7,4,0,0,523,645,1
201,1954-05-01,0,0.0006124589807528131,0.3947441317254751,2000,7,1,0,0,781,767,0
202,1959-10-17,1,0.02650732427138299,0.23814497729282422,2000,8,1,0,0,806,694,0
203,1950-03-21,1,0.026836638461547963,0.3045770604439236,2000,1,2,0,0,771,658,0
204,1978-12-27,1,0.030364041334425804,0.3819095921943104,2100,7,2,0,0,548,728,0
205,1989-03-30,0,0.05627336568139059,0.3370807497182253,3300,6,1,1,0,510,604,0
206,1992-12-01,2,0.011194626955340068,0.3261404509500438,2300,2,5,0,0,801,768,0
207,1959-06-18,0,0.0022153281014507726,0.255871310646253,2300,2,3,0,0,595,676,0
208,1955-10-09,1,0.02683518282240899,0.4791880666689076,2100,7,3,1,0,545,822,0
209,1989-03-08,1,0.02495667459137358,0.36995064459784993,2000,3,2,0,0,625,816,0
210,1941-05-24,0,0.004430280270782561,0.46653352868962433,2200,5,4,0,0,554,619,0
212,1987-04-21,0,0.08026392366103761,0.4016195576233137,2400,3,2,0,1,646,584,0
213,1965-06-03,1,0.020271877121699172,0.2911619076947219,2400,6,4,0,0,786,504,0
215,1934-11-24,0,0.03124050532493474,0.31929882976161383,2100,4,1,0,1,514,802,0
216,1985-01-10,2,0.028894932697748663,0.5843050513402845,2100,2,2,0,0,694,535,0
217,1984-03-11,0,0.13322065719083417,0.3452006748180253,2100,3,0,0,0,734,735,0
218,1966-10-10,1,0.010869089440189555,0.27500051321215435,2000,4,2,0,0,839,626,0
219,1937-07-22,0,0.0003620054315032348,0.3116566453157575,2600,7,1,0,0,643,802,0
220,1980-08-03,0,0.237293680705074,0.3796801522627344,2500,8,4,0,0,615,584,0
221,1980-03-01,0,0.06377486854375619,0.14293846854401962,2300,8,5,0,0,696,566,0
222,1968-04-15,2,0.11295105710704242,0.181662119267503,2200,7,1,0,0,685,648,0
223,1958-08-22,0,0.03929283631156843,0.07390408203790075,2100,4,2,0,0,652,759,0
224,1951-08-05,0,0.045119797993897696,0.3317301795681839,2600,4,5,0,0,618,514,0
225,1963-06-22,2,0.03767420382378893,0.451015106429556,2000,5,2,0,0,608,810,0
226,1969-05-29,0,0.003961393204659657,0.525125347049732,2000,10,1,0,0,758,612,0
227,1952-09-02,0,0.022625818245983143,0.3180631740724877,2000,5,0,0,0,706,679,0
228,1977-11-02,0,0.012038151964328708,0.5521285143416493,2000,5,4,0,0,798,517,1
229,1933-06-09,0,0.04172540793255912,0.4367423713780105,2500,3,0,0,0,628,533,1
230,1997-03-19,0,0.009182880296254524,0.3119711870327588,2100,2,3,0,0,808,736,0
231,1974-03-09,1,0.031120378288469575,0.3599088251186601,2400,4,5,2,0,641,630,0
232,1982-05-07,0,0.05670607055834571,0.248815989716229,2100,8,4,1,0,748,831,0
233,1993-11-14,0,0.0009419218838388518,0.5256152567359722,2300,4,1,0,1,541,776,0
234,1969-12-20,1,0.031612182666894285,0.37362330332422555,2200,4,3,0,0,752,826,0
235,1952-02-13,2,0.00044013488742370056,0.4845450809950154,2200,8,4,0,0,684,612,1
236,1980-07-09,0,0.04163468698924707,0.2018155142060833,2100,6,1,0,0,576,716,0
237,1941-04-04,0,0.010250272338609237,0.19682555138819624,2700,4,1,0,0,679,832,0
238,1948-02-22,0,0.04464586492891791,0.2106198497958956,2200,8,3,0,0,688,653,0
239,1983-03-27,0,0.013034921799758473,0.10289566397610908,2200,9,0,1,0,820,667,0
240,1992-06-09,0,0.009866235236105974,0.2073412394436602,2500,6,4,0,0,683,503,0
241,1946-07-16,0,0.0027873663881968092,0.2156774183756533,2400,8,5,0,0,689,758,0
242,1960-11-14,2,0.022966967633728866,0.42402810541733976,2000,8,2,1,0,732,646,0
243,1939-12-31,1,0.01229111842489305,0.3318768433617843,2200,8,2,0,0,692,666,0
244,1951-02-04,3,0.056813541071428705,0.13040238692890224,2100,9,2,0,0,604,696,0
245,1985-10-22,1,0.025690679235372153,0.402952760384198,2100,5,1,0,0,628,555,0
246,1971-12-04,-1,0.05251643116253009,0.47011874209047366,2000,7,1,0,0,535,690,0
247,1936-11-27,1,0.1702923884867022,0.5949067008864461,2000,3,0,0,0,514,561,1
248,1982-07-26,2,0.0183037948482728,0.30206535029516923,2100,9,2,0,0,832,505,1
249,1968-08-14,1,0.09106270598347929,0.3394580841946012,2200,7,3,0,0,760,557,0
250,1990-02-04,2,0.03926870946769595,0.3167935651265769,2100,10,3,0,0,791,651,0
251,1990-12-13,0,0.007394218229153312,0.3058825063485442,2000,5,2,0,0,802,644,0
252,1943-02-28,0,0.0036885384469460382,0.3645544217260878,2400,8,3,0,0,639,651,1
253,1963-03-12,1,0.0646833125631505,0.3281384416709216,2100,2,2,0,0,588,755,0
254,1945-01-06,0,0.07344251254136139,0.41467474509490226,2300,3,2,0,0,671,503,0
255,1930-08-02,0,0.007275105834245812,0.2635680808049687,2000,6,1,0,0,833,558,0
256,1969-10-21,1,0.08957136132775557,0.4366192719986796,2000,3,3,0,0,576,701,0
257,1989-03-05,0,0.05329474336703184,0.16078304520137193,2000,6,0,0,0,631,774,0
258,1976-07-07,0,0.002802814218764765,0.2911601486668501,2100,5,1,0,0,699,649,0
259,1954-05-21,1,0.040392447657303064,0.29436696357006886,2100,2,2,0,0,709,670,0
260,1941-10-24,1,0.06734311133800523,0.33891844170188024,2500,6,2,0,0,528,751,0
261,1965-11-15,1,0.042430066167713186,0.3471384698002077,2000,6,4,0,0,644,640,0
262,1964-10-10,2,0.010094202461198994,0.24762271532055755,2200,2,5,0,1,637,816,0
263,1944-04-21,1,0.012643345484927413,0.3536725665092694,2300,6,2,0,0,601,526,0
264,1985-01-08,0,0.0028364568597691814,0.23685639754362714,2400,10,1,0,0,806,612,0
265,1954-09-25,1,0.03206505662287689,0.32426049327008155,2100,4,2,0,0,837,593,0
266,1997-06-10,0,0.007081986367123722,0.2706933269534802,2700,6,2,0,0,523,714,0
267,1939-08-27,1,0.030833251324982876,0.26944267854326787,2700,6,0,0,1,509,774,0
268,1965-10-23,0,0.07408687550256948,0.3131670710907072,2000,5,3,0,0,511,528,0
269,1950-06-20,0,0.014963850207510938,0.4553852140413489,2300,5,1,0,1,662,574,1
270,1992-10-19,0,0.015342503690036965,0.20667784631257907,2000,8,2,0,0,712,837,0
271,1984-07-08,0,0.012580811155265822,0.6063061555285885,2000,5,0,0,0,601,760,0
272,1983-05-10,1,0.05883792705063976,0.19732606114658194,2100,7,3,0,0,828,559,0
273,1949-09-15,0,0.0168838248882904,0.3018619038222691,2000,7,2,0,0,579,819,0
274,1973-07-23,0,0.051954154200614076,0.4884993817246722,2000,6,6,0,0,748,580,0
275,1961-06-05,0,0.14159779503099992,0.2700101853491445,2100,4,2,0,0,723,809,0
276,1995-11-11,2,0.0244841387505526,0.2524145677013169,2000,4,0,0,0,788,773,0
277,1995-07-19,0,0.022422448197010836,0.4160347665010022,2000,7,1,0,0,638,737,0
278,1960-11-18,1,0.05884396101514688,0.16312347747031236,2000,5,1,0,0,626,573,0
279,1958-03-28,0,0.03414130135077532,0.3938910964909473,2000,3,3,0,0,611,708,0
280,1960-12-21,0,0.08364024915901938,0.36057223879145606,2600,3,3,0,0,564,757,0
281,1965-01-20,1,0.011238086072871524,0.2560436974042728,2600,4,2,0,0,691,823,0
282,1980-12-31,0,0.0060563388769967535,0.43307427478780164,2000,6,0,0,0,797,523,0
283,1931-02-03,0,0.06033126460290346,0.35085137197446303,2200,4,2,1,0,782,612,0
284,1951-06-04,1,0.0026715002092145067,0.23207953756794686,2500,5,3,0,0,801,827,0
285,1988-05-22,0,0.04541739686536224,0.40321458628053614,2000,7,3,0,0,648,760,0
286,1968-02-16,0,0.0006876667364800058,0.43227998770691245,2200,4,0,0,0,551,532,0
287,1945-05-31,1,0.09113680488013852,0.2736491778891325,3200,8,3,0,0,772,724,0
288,1949-07-08,0,0.09436930628598997,0.32097647025218407,2200,5,3,0,0,667,752,0
290,1990-09-08,0,0.026784245002171223,0.39389095920850314,2100,8,1,0,0,836,515,1
291,1987-06-23,2,0.1476055156866201,0.3901456327423762,2600,6,1,0,0,767,652,0
292,1973-06-14,0,0.015983256861679607,0.251903666041231,2300,8,1,0,0,767,822,0
293,1988-06-24,0,0.0036367651394367665,0.293005307177732,2200,8,0,0,0,784,637,0
294,1981-09-20,0,0.04151566867519036,0.21384205118652602,2000,5,1,0,0,580,523,0
295,1938-07-08,0,0.03007629941046127,0.5550138636552114,2000,4,3,0,0,690,524,0
296,1984-10-29,1,0.21410622847555433,0.34309655418702406,2100,7,1,0,0,831,599,0
297,1977-06-13,0,0.11416611269725582,0.3188040662427624,2200,5,2,0,0,512,832,0
299,1982-07-17,0,0.013129445970981328,0.24247446545272672,2000,6,1,0,0,705,516,0
300,1948-10-07,0,0.015853995949691,0.19932435016821634,2200,4,1,0,0,752,750,0
301,1962-07-22,2,0.0287459999097426,0.5156715981320061,2000,7,1,0,0,788,680,0
302,1965-02-19,0,0.07572262335382239,0.26273361329851064,2500,8,1,0,0,543,501,0
303,1970-08-23,0,0.17497537284994574,0.4137143376270612,2000,1,3,0,0,767,639,1
304,1956-05-18,0,0.03612076647317634,0.5200791017270633,2000,4,2,0,0,691,577,0
305,1930-01-14,1,0.02064854523233091,0.4431185908379902,2000,9,2,0,0,669,510,0
306,1938-11-07,0,0.007279106968766884,0.16071732987140883,2600,1,1,0,0,822,582,0
307,1996-05-16,0,0.02245939208253549,0.29150488397338076,2800,2,3,0,0,816,570,0
308,1949-06-05,0,0.05428192029591985,0.2093368657942039,2200,3,0,0,0,786,785,0
309,1982-06-11,1,0.04163120038936339,0.5012001208304965,2000,4,1,0,0,547,524,1
311,1988-11-19,0,0.0390066263701734,0.36170173962314184,2700,5,3,0,0,627,578,0
312,1933-03-08,0,0.04368415191766318,0.24410491315525298,2000,4,2,0,0,676,591,0
313,1967-08-06,1,0.028419006589595584,0.34908192631431095,2200,5,1,0,0,731,793,0
314,1993-11-11,0,0.1833129231972238,0.31454259792965816,2600,5,4,0,0,694,628,1
315,1953-12-11,2,0.09853017890884032,0.23849316574946075,2700,1,2,0,0,750,612,0
316,1965-07-02,0,0.012094017391761394,0.27220271322397077,2000,3,5,0,0,665,810,0
317,1948-05-10,2,0.06064117621296954,0.40331586555688187,2200,5,1,1,0,716,709,0
